manga_id,tag_slug
286738,age-progression
286054,age-progression
285839,age-progression
285811,age-progression
284015,age-progression
283266,age-progression
282467,age-progression
282384,age-progression
281961,age-progression
281840,age-progression
281773,age-progression
281360,age-progression
281043,age-progression
280690,age-progression
280458,age-progression
280442,age-progression
279758,age-progression
279553,age-progression
278980,age-progression
278354,age-progression
278161,age-progression
277659,age-progression
277416,age-progression
276688,age-progression
276261,age-progression
274882,age-progression
273912,age-progression
272513,age-progression
271076,age-progression
271064,age-progression
269945,age-progression
269650,age-progression
268919,age-progression
268580,age-progression
267929,age-progression
267451,age-progression
266963,age-progression
265534,age-progression
265429,age-progression
264728,age-progression
264711,age-progression
264298,age-progression
264148,age-progression
264126,age-progression
263612,age-progression
263567,age-progression
263195,age-progression
263176,age-progression
262913,age-progression
262678,age-progression
262593,age-progression
262272,age-progression
261962,age-progression
261861,age-progression
261617,age-progression
261313,age-progression
261078,age-progression
261044,age-progression
261035,age-progression
260837,age-progression
260147,age-progression
260098,age-progression
260001,age-progression
259835,age-progression
259536,age-progression
259374,age-progression
259101,age-progression
258627,age-progression
258257,age-progression
258201,age-progression
258132,age-progression
257324,age-progression
257129,age-progression
256918,age-progression
256767,age-progression
256718,age-progression
256179,age-progression
255892,age-progression
255845,age-progression
254717,age-progression
253679,age-progression
253083,age-progression
251764,age-progression
250282,age-progression
250166,age-progression
249609,age-progression
248820,age-progression
248248,age-progression
248140,age-progression
246221,age-progression
246203,age-progression
245160,age-progression
244412,age-progression
243644,age-progression
243520,age-progression
243050,age-progression
242582,age-progression
241833,age-progression
241050,age-progression
240466,age-progression
239842,age-progression
238951,age-progression
238710,age-progression
238235,age-progression
237894,age-progression
236921,age-progression
236895,age-progression
236754,age-progression
236537,age-progression
235607,age-progression
233938,age-progression
233829,age-progression
232643,age-progression
232637,age-progression
231537,age-progression
231227,age-progression
226879,age-progression
225885,age-progression
224807,age-progression
222996,age-progression
222691,age-progression
222631,age-progression
222476,age-progression
221439,age-progression
221438,age-progression
220928,age-progression
220545,age-progression
220306,age-progression
220178,age-progression
219347,age-progression
218417,age-progression
218356,age-progression
218293,age-progression
217191,age-progression
217172,age-progression
